data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-12-11T03:27:23.480008+00:00,Premier League,Arsenal x Wolverhampton,Arsenal,Wolverhampton,2025-12-13T20:00:00Z,1X2,1,,1.16,https://www.betano.bet.br/odds/arsenal-wolverhampton/77269089/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:23.480055+00:00,Premier League,Arsenal x Wolverhampton,Arsenal,Wolverhampton,2025-12-13T20:00:00Z,1X2,X,,7.3,https://www.betano.bet.br/odds/arsenal-wolverhampton/77269089/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:23.480077+00:00,Premier League,Arsenal x Wolverhampton,Arsenal,Wolverhampton,2025-12-13T20:00:00Z,1X2,2,,21.0,https://www.betano.bet.br/odds/arsenal-wolverhampton/77269089/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:32.519634+00:00,Premier League,Liverpool x Brighton & Hove Albion,Liverpool,Brighton & Hove Albion,2025-12-13T15:00:00Z,1X2,1,,1.7,https://www.betano.bet.br/odds/liverpool-brighton-hove-albion/77120898/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:32.519657+00:00,Premier League,Liverpool x Brighton & Hove Albion,Liverpool,Brighton & Hove Albion,2025-12-13T15:00:00Z,1X2,X,,4.1,https://www.betano.bet.br/odds/liverpool-brighton-hove-albion/77120898/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:32.519666+00:00,Premier League,Liverpool x Brighton & Hove Albion,Liverpool,Brighton & Hove Albion,2025-12-13T15:00:00Z,1X2,2,,4.65,https://www.betano.bet.br/odds/liverpool-brighton-hove-albion/77120898/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:41.980476+00:00,Premier League,Chelsea x Everton,Chelsea,Everton,2025-12-13T15:00:00Z,1X2,1,,1.7,https://www.betano.bet.br/odds/chelsea-everton/77120897/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:41.980503+00:00,Premier League,Chelsea x Everton,Chelsea,Everton,2025-12-13T15:00:00Z,1X2,X,,3.9,https://www.betano.bet.br/odds/chelsea-everton/77120897/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:41.980517+00:00,Premier League,Chelsea x Everton,Chelsea,Everton,2025-12-13T15:00:00Z,1X2,2,,4.9,https://www.betano.bet.br/odds/chelsea-everton/77120897/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:51.207393+00:00,Premier League,Burnley x Fulham FC,Burnley,Fulham FC,2025-12-13T17:30:00Z,1X2,1,,3.9,https://www.betano.bet.br/odds/burnley-fulham-fc/77120899/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:51.207413+00:00,Premier League,Burnley x Fulham FC,Burnley,Fulham FC,2025-12-13T17:30:00Z,1X2,X,,3.45,https://www.betano.bet.br/odds/burnley-fulham-fc/77120899/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:27:51.207422+00:00,Premier League,Burnley x Fulham FC,Burnley,Fulham FC,2025-12-13T17:30:00Z,1X2,2,,1.98,https://www.betano.bet.br/odds/burnley-fulham-fc/77120899/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-12-11T03:28:08.057781+00:00,La Liga,Atlético de Madrid x Valencia,Atlético de Madrid,Valencia,2025-12-13T13:00:00Z,1X2,1,,1.29,https://www.betano.bet.br/odds/atletico-de-madrid-valencia/73610609/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:08.057810+00:00,La Liga,Atlético de Madrid x Valencia,Atlético de Madrid,Valencia,2025-12-13T13:00:00Z,1X2,X,,5.3,https://www.betano.bet.br/odds/atletico-de-madrid-valencia/73610609/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:08.057822+00:00,La Liga,Atlético de Madrid x Valencia,Atlético de Madrid,Valencia,2025-12-13T13:00:00Z,1X2,2,,11.25,https://www.betano.bet.br/odds/atletico-de-madrid-valencia/73610609/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:17.362578+00:00,La Liga,Mallorca x Elche,Mallorca,Elche,2025-12-13T15:15:00Z,1X2,1,,2.47,https://www.betano.bet.br/odds/mallorca-elche/73610599/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:17.362615+00:00,La Liga,Mallorca x Elche,Mallorca,Elche,2025-12-13T15:15:00Z,1X2,X,,3.05,https://www.betano.bet.br/odds/mallorca-elche/73610599/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:17.362636+00:00,La Liga,Mallorca x Elche,Mallorca,Elche,2025-12-13T15:15:00Z,1X2,2,,3.15,https://www.betano.bet.br/odds/mallorca-elche/73610599/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:27.023017+00:00,La Liga,Getafe CF x Espanyol,Getafe CF,Espanyol,2025-12-13T20:00:00Z,1X2,1,,2.6,https://www.betano.bet.br/odds/getafe-cf-espanyol/73610601/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:27.023045+00:00,La Liga,Getafe CF x Espanyol,Getafe CF,Espanyol,2025-12-13T20:00:00Z,1X2,X,,2.85,https://www.betano.bet.br/odds/getafe-cf-espanyol/73610601/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:27.023056+00:00,La Liga,Getafe CF x Espanyol,Getafe CF,Espanyol,2025-12-13T20:00:00Z,1X2,2,,3.2,https://www.betano.bet.br/odds/getafe-cf-espanyol/73610601/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:36.699701+00:00,La Liga,Barcelona x Osasuna,Barcelona,Osasuna,2025-12-13T17:30:00Z,1X2,1,,1.21,https://www.betano.bet.br/odds/barcelona-osasuna/73610600/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:36.699724+00:00,La Liga,Barcelona x Osasuna,Barcelona,Osasuna,2025-12-13T17:30:00Z,1X2,X,,6.9,https://www.betano.bet.br/odds/barcelona-osasuna/73610600/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:36.699735+00:00,La Liga,Barcelona x Osasuna,Barcelona,Osasuna,2025-12-13T17:30:00Z,1X2,2,,12.5,https://www.betano.bet.br/odds/barcelona-osasuna/73610600/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:46.275377+00:00,La Liga,Real Sociedad x Girona FC,Real Sociedad,Girona FC,2025-12-12T20:00:00Z,1X2,1,,1.75,https://www.betano.bet.br/odds/real-sociedad-girona-fc/73610597/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:46.275398+00:00,La Liga,Real Sociedad x Girona FC,Real Sociedad,Girona FC,2025-12-12T20:00:00Z,1X2,X,,3.8,https://www.betano.bet.br/odds/real-sociedad-girona-fc/73610597/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:28:46.275406+00:00,La Liga,Real Sociedad x Girona FC,Real Sociedad,Girona FC,2025-12-12T20:00:00Z,1X2,2,,4.7,https://www.betano.bet.br/odds/real-sociedad-girona-fc/73610597/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-12-11T03:29:02.578205+00:00,Série A,Atalanta x Cagliari,Atalanta,Cagliari,2025-12-13T19:45:00Z,1X2,1,,1.35,https://www.betano.bet.br/odds/atalanta-cagliari/76249662/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-12-11T03:29:02.578230+00:00,Série A,Atalanta x Cagliari,Atalanta,Cagliari,2025-12-13T19:45:00Z,1X2,X,,5.1,https://www.betano.bet.br/odds/atalanta-cagliari/76249662/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
