Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2022-08-05,Lyon,AC Ajaccio,2-1,2-1
1,Sat,2022-08-06,Estrasburgo,Monaco,1-2,0-1
1,Sat,2022-08-06,Clermont Foot 63,Paris Saint Germain,0-5,0-3
1,Sun,2022-08-07,Toulouse FC,Nice,1-1,1-0
1,Sun,2022-08-07,Montpellier,ESTAC Troyes,3-2,2-2
1,Sun,2022-08-07,Lille,AJ Auxerre,4-1,3-0
1,Sun,2022-08-07,Lens,Brestois,3-2,1-0
1,Sun,2022-08-07,Angers,Nantes,0-0,
1,Sun,2022-08-07,Rennes,FC Lorient,0-1,0-0
1,Sun,2022-08-07,Olympique de Marseille,Stade de Reims,4-1,2-0
2,Fri,2022-08-12,Nantes,Lille,1-1,1-0
2,Sat,2022-08-13,Monaco,Rennes,1-1,0-0
2,Sat,2022-08-13,Paris Saint Germain,Montpellier,5-2,2-0
2,Sun,2022-08-14,AC Ajaccio,Lens,0-0,
2,Sun,2022-08-14,AJ Auxerre,Angers,2-2,2-1
2,Sun,2022-08-14,ESTAC Troyes,Toulouse FC,0-3,0-1
2,Sun,2022-08-14,Stade de Reims,Clermont Foot 63,2-4,2-0
2,Sun,2022-08-14,Nice,Estrasburgo,1-1,1-0
2,Sun,2022-08-14,Brestois,Olympique de Marseille,1-1,0-1
2,Wed,2022-09-07,FC Lorient,Lyon,3-1,2-1
3,Fri,2022-08-19,Lyon,ESTAC Troyes,4-1,1-1
3,Sat,2022-08-20,Monaco,Lens,1-4,1-2
3,Sat,2022-08-20,Olympique de Marseille,Nantes,2-1,0-0
3,Sun,2022-08-21,Estrasburgo,Stade de Reims,1-1,1-0
3,Sun,2022-08-21,Clermont Foot 63,Nice,1-0,1-0
3,Sun,2022-08-21,Toulouse FC,FC Lorient,2-2,1-1
3,Sun,2022-08-21,Montpellier,AJ Auxerre,1-2,1-0
3,Sun,2022-08-21,Angers,Brestois,1-3,0-2
3,Sun,2022-08-21,Rennes,AC Ajaccio,2-1,1-0
3,Sun,2022-08-21,Lille,Paris Saint Germain,1-7,0-4
4,Fri,2022-08-26,AC Ajaccio,Lille,1-3,0-2
4,Sat,2022-08-27,AJ Auxerre,Estrasburgo,1-0,1-0
4,Sat,2022-08-27,Lens,Rennes,2-1,0-0
4,Sun,2022-08-28,Nantes,Toulouse FC,3-1,0-1
4,Sun,2022-08-28,ESTAC Troyes,Angers,3-1,1-0
4,Sun,2022-08-28,FC Lorient,Clermont Foot 63,2-1,2-0
4,Sun,2022-08-28,Nice,Olympique de Marseille,0-3,0-3
4,Sun,2022-08-28,Brestois,Montpellier,0-7,0-5
4,Sun,2022-08-28,Stade de Reims,Lyon,1-1,1-0
4,Sun,2022-08-28,Paris Saint Germain,Monaco,1-1,0-1
5,Wed,2022-08-31,Monaco,ESTAC Troyes,2-4,1-2
5,Wed,2022-08-31,Montpellier,AC Ajaccio,2-0,1-0
5,Wed,2022-08-31,Lyon,AJ Auxerre,2-1,1-0
5,Wed,2022-08-31,Estrasburgo,Nantes,1-1,1-0
5,Wed,2022-08-31,Angers,Stade de Reims,2-4,0-2
5,Wed,2022-08-31,Toulouse FC,Paris Saint Germain,0-3,0-1
5,Wed,2022-08-31,Olympique de Marseille,Clermont Foot 63,1-0,0-0
5,Wed,2022-08-31,Lille,Nice,1-2,1-2
5,Wed,2022-08-31,Lens,FC Lorient,5-2,2-1
5,Wed,2022-08-31,Rennes,Brestois,3-1,0-0
6,Sat,2022-09-03,AJ Auxerre,Olympique de Marseille,0-2,0-1
6,Sat,2022-09-03,Lyon,Angers,5-0,2-0
