Matchday,Date,Home,Away,FullTime,HalfTime
1,,Borussia Dortmund,Hamburgo,3-1,2-0
1,,VfB Stuttgart,FC Schalke 04,3-0,1-0
1,,1.FC Köln,Wolfsburg,0-3,0-1
1,,Augsburg,Freiburg,2-2,0-0
1,,Mainz 05,Bayer Leverkusen,2-0,1-0
1,,Bayern de Munique,Bor. Mönchengladbach,0-1,0-0
2,,Hamburgo,Hertha BSC,2-2,1-1
2,,FC Nürnberg,Hannover 96,1-2,0-2
2,,Hoffenheim,Borussia Dortmund,1-0,1-0
2,,Wolfsburg,Bayern de Munique,0-1,0-0
2,,Bor. Mönchengladbach,VfB Stuttgart,1-1,0-0
2,,FC Kaiserslautern,Augsburg,1-1,0-1
2,,Bayer Leverkusen,Werder Bremen,1-0,0-0
3,,Bor. Mönchengladbach,Wolfsburg,4-1,3-1
3,,Bayern de Munique,Hamburgo,5-0,3-0
3,,Werder Bremen,Freiburg,5-3,2-1
3,,VfB Stuttgart,Bayer Leverkusen,0-1,0-1
3,,Mainz 05,FC Schalke 04,2-4,2-0
3,,Hannover 96,Hertha BSC,1-1,1-0
4,,Hertha BSC,VfB Stuttgart,1-0,0-0
4,,FC Nürnberg,Augsburg,1-0,0-0
4,,Freiburg,Wolfsburg,3-0,2-0
4,,FC Kaiserslautern,Bayern de Munique,0-3,0-1
4,,Hoffenheim,Werder Bremen,1-2,1-1
4,,Bayer Leverkusen,Borussia Dortmund,0-0,
4,,FC Schalke 04,Bor. Mönchengladbach,1-0,0-0
5,,Augsburg,Bayer Leverkusen,1-4,1-2
5,,Borussia Dortmund,Hertha BSC,1-2,0-0
5,,Bayern de Munique,Freiburg,7-0,3-0
5,,VfB Stuttgart,Hannover 96,3-0,1-0
5,,Werder Bremen,Hamburgo,2-0,0-0
5,,Wolfsburg,FC Schalke 04,2-1,1-1
6,,Freiburg,VfB Stuttgart,1-2,0-1
6,,Hamburgo,Bor. Mönchengladbach,0-1,0-0
6,,FC Nürnberg,Werder Bremen,1-1,0-1
6,,Hoffenheim,Wolfsburg,3-1,2-0
6,,Hertha BSC,Augsburg,2-2,0-1
6,,Hannover 96,Borussia Dortmund,2-1,0-0
6,,FC Schalke 04,Bayern de Munique,0-2,0-1
7,,VfB Stuttgart,Hamburgo,1-2,1-0
7,,FC Schalke 04,Freiburg,4-2,1-1
7,,Mainz 05,Borussia Dortmund,1-2,1-0
7,,Augsburg,Hannover 96,0-0,
7,,Bayern de Munique,Bayer Leverkusen,3-0,2-0
7,,Werder Bremen,Hertha BSC,2-1,1-1
8,,FC Kaiserslautern,VfB Stuttgart,0-2,0-0
8,,Borussia Dortmund,Augsburg,4-0,2-0
8,,Bayer Leverkusen,Wolfsburg,3-1,1-0
8,,Freiburg,Bor. Mönchengladbach,1-0,1-0
8,,Hoffenheim,Bayern de Munique,0-0,
8,,Hannover 96,Werder Bremen,3-2,2-1
8,,Hamburgo,FC Schalke 04,1-2,1-1
9,,Werder Bremen,Borussia Dortmund,0-2,0-1
9,,Bayern de Munique,Hertha BSC,4-0,3-0
9,,Mainz 05,Augsburg,0-1,0-0
9,,Bor. Mönchengladbach,Bayer Leverkusen,2-2,0-1
9,,Freiburg,Hamburgo,1-2,0-1
9,,1.FC Köln,Hannover 96,2-0,1-0
10,,Augsburg,Werder Bremen,1-1,0-0
10,,FC Nürnberg,VfB Stuttgart,2-2,1-0
10,,FC Kaiserslautern,Freiburg,1-0,0-0
10,,Hoffenheim,Bor. Mönchengladbach,1-0,0-0
10,,Hamburgo,Wolfsburg,1-1,0-1
10,,Bayer Leverkusen,FC Schalke 04,0-1,0-0
10,,Hannover 96,Bayern de Munique,2-1,1-0
11,,Freiburg,Bayer Leverkusen,0-1,0-1
11,,Wolfsburg,Hertha BSC,2-3,1-2
11,,Bor. Mönchengladbach,Hannover 96,2-1,1-1
11,,VfB Stuttgart,Borussia Dortmund,1-1,1-1
11,,Mainz 05,Werder Bremen,1-3,1-1
11,,1.FC Köln,Augsburg,3-0,2-0
12,,Mainz 05,VfB Stuttgart,3-1,0-0
12,,Borussia Dortmund,Wolfsburg,5-1,2-0
12,,FC Nürnberg,Freiburg,1-2,1-1
12,,Hertha BSC,Bor. Mönchengladbach,1-2,1-1
12,,Bayer Leverkusen,Hamburgo,2-2,2-1
12,,Hannover 96,FC Schalke 04,2-2,1-1
12,,Augsburg,Bayern de Munique,1-2,0-2
13,,FC Kaiserslautern,Bayer Leverkusen,0-2,0-0
13,,Freiburg,Hertha BSC,2-2,0-2
