Matchday,Date,Home,Away,FullTime,HalfTime
1,2012-08-24,Borussia Dortmund,Werder Bremen,2-1,1-0
1,2012-08-24,Augsburg,Fortuna Düsseldorf,0-2,0-0
1,2012-08-24,SpVgg Greuther Fürth,Bayern de Munique,0-3,0-1
1,2012-08-24,Eintracht Frankfurt,Bayer Leverkusen,2-1,0-1
1,2012-08-24,VfB Stuttgart,Wolfsburg,0-1,0-0
1,2012-08-24,Hannover 96,FC Schalke 04,2-2,1-0
2,2012-08-24,Mainz 05,SpVgg Greuther Fürth,0-1,0-0
2,2012-08-24,FC Schalke 04,Augsburg,3-1,1-0
2,2012-08-24,Bayer Leverkusen,Freiburg,2-0,1-0
2,2012-08-24,Werder Bremen,Hamburgo,2-0,0-0
2,2012-08-24,FC Nürnberg,Borussia Dortmund,1-1,1-1
2,2012-08-24,Hoffenheim,Eintracht Frankfurt,0-4,0-2
2,2012-08-24,Fortuna Düsseldorf,Bor. Mönchengladbach,0-0,
2,2012-08-24,Wolfsburg,Hannover 96,0-4,0-2
2,2012-08-24,Bayern de Munique,VfB Stuttgart,6-1,3-1
3,2012-08-24,Augsburg,Wolfsburg,0-0,
3,2012-08-24,Borussia Dortmund,Bayer Leverkusen,3-0,2-0
3,2012-08-24,VfB Stuttgart,Fortuna Düsseldorf,0-0,
3,2012-08-24,Hannover 96,Werder Bremen,3-2,2-1
3,2012-08-24,SpVgg Greuther Fürth,FC Schalke 04,0-2,0-0
3,2012-08-24,Eintracht Frankfurt,Hamburgo,3-2,2-1
4,2012-08-24,FC Nürnberg,Eintracht Frankfurt,1-2,0-1
4,2012-08-24,FC Schalke 04,Bayern de Munique,0-2,0-0
4,2012-08-24,Wolfsburg,SpVgg Greuther Fürth,1-1,1-1
4,2012-08-24,Mainz 05,Augsburg,2-0,2-0
4,2012-08-24,Hamburgo,Borussia Dortmund,3-2,1-0
4,2012-08-24,Fortuna Düsseldorf,Freiburg,0-0,
4,2012-08-24,Bayer Leverkusen,Bor. Mönchengladbach,1-1,1-1
4,2012-08-24,Werder Bremen,VfB Stuttgart,2-2,2-0
4,2012-08-24,Hoffenheim,Hannover 96,3-1,1-1
5,2012-08-24,Bayern de Munique,Wolfsburg,3-0,1-0
5,2012-08-24,SpVgg Greuther Fürth,Fortuna Düsseldorf,0-2,0-2
5,2012-08-24,Eintracht Frankfurt,Borussia Dortmund,3-3,0-2
5,2012-08-24,Bor. Mönchengladbach,Hamburgo,2-2,1-2
5,2012-08-24,Freiburg,Werder Bremen,1-2,1-0
5,2012-08-24,Augsburg,Bayer Leverkusen,1-3,0-3
6,2012-08-24,Fortuna Düsseldorf,FC Schalke 04,2-2,0-2
6,2012-08-24,Bayer Leverkusen,SpVgg Greuther Fürth,2-0,0-0
6,2012-08-24,Werder Bremen,Bayern de Munique,0-2,0-0
