Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,,,Fluminense,Grêmio,,
1,,,Botafogo-RJ,Cruzeiro,,
1,,,São Paulo,Flamengo,,
1,,,Corinthians,Bahia,,
1,,,Mirassol,Vasco da Gama,,
1,,,Atlético-MG,Palmeiras,,
1,,,Internacional,Athletico-PR,,
1,,,Coritiba,Bragantino,,
1,,,Vitória,Remo,,
1,,,Chapecoense,Santos,,
2,,,Flamengo,Internacional,,
2,,,Vasco da Gama,Chapecoense,,
2,,,Santos,São Paulo,,
2,,,Palmeiras,Vitória,,
2,,,Bragantino,Atlético-MG,,
2,,,Cruzeiro,Coritiba,,
2,,,Grêmio,Botafogo-RJ,,
2,,,Athletico-PR,Corinthians,,
2,,,Bahia,Fluminense,,
2,,,Remo,Mirassol,,
3,,,Fluminense,Botafogo-RJ,,
3,,,Vasco da Gama,Bahia,,
3,,,São Paulo,Grêmio,,
3,,,Corinthians,Bragantino,,
3,,,Mirassol,Cruzeiro,,
3,,,Atlético-MG,Remo,,
3,,,Internacional,Palmeiras,,
3,,,Athletico-PR,Santos,,
3,,,Vitória,Flamengo,,
3,,,Chapecoense,Coritiba,,
4,,,Flamengo,Mirassol,,
4,,,Botafogo-RJ,Vitória,,
4,,,Santos,Vasco da Gama,,
4,,,Palmeiras,Fluminense,,
4,,,Bragantino,Athletico-PR,,
4,,,Cruzeiro,Corinthians,,
4,,,Grêmio,Atlético-MG,,
4,,,Coritiba,São Paulo,,
4,,,Bahia,Chapecoense,,
4,,,Remo,Internacional,,
5,,,Flamengo,Cruzeiro,,
5,,,Vasco da Gama,Palmeiras,,
5,,,São Paulo,Chapecoense,,
5,,,Corinthians,Coritiba,,
5,,,Mirassol,Santos,,
5,,,Atlético-MG,Internacional,,
5,,,Grêmio,Bragantino,,
5,,,Athletico-PR,Botafogo-RJ,,
5,,,Bahia,Vitória,,
5,,,Remo,Fluminense,,
6,,,Fluminense,Athletico-PR,,
6,,,Botafogo-RJ,Flamengo,,
6,,,Santos,Corinthians,,
6,,,Palmeiras,Mirassol,,
6,,,Bragantino,São Paulo,,
6,,,Cruzeiro,Vasco da Gama,,
6,,,Internacional,Bahia,,
6,,,Coritiba,Remo,,
6,,,Vitória,Atlético-MG,,
6,,,Chapecoense,Grêmio,,
7,,,Flamengo,Remo,,
7,,,Vasco da Gama,Fluminense,,
7,,,Santos,Internacional,,
7,,,Palmeiras,Botafogo-RJ,,
7,,,Mirassol,Coritiba,,
7,,,Atlético-MG,São Paulo,,
7,,,Grêmio,Vitória,,
7,,,Athletico-PR,Cruzeiro,,
7,,,Bahia,Bragantino,,
7,,,Chapecoense,Corinthians,,
8,,,Fluminense,Atlético-MG,,
8,,,Vasco da Gama,Grêmio,,
8,,,São Paulo,Palmeiras,,
8,,,Corinthians,Flamengo,,
8,,,Bragantino,Botafogo-RJ,,
8,,,Cruzeiro,Santos,,
8,,,Internacional,Chapecoense,,
8,,,Athletico-PR,Coritiba,,
8,,,Vitória,Mirassol,,
8,,,Remo,Bahia,,
9,,,Fluminense,Corinthians,,
9,,,Botafogo-RJ,Mirassol,,
9,,,Santos,Remo,,
9,,,Palmeiras,Grêmio,,
9,,,Bragantino,Flamengo,,
9,,,Cruzeiro,Vitória,,
9,,,Internacional,São Paulo,,
9,,,Coritiba,Vasco da Gama,,
9,,,Bahia,Athletico-PR,,
9,,,Chapecoense,Atlético-MG,,
