Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Sat,2014-08-30,Chievo Verona,Juventus FC,0-1,0-1
1,Sat,2014-08-30,Roma,Fiorentina,2-0,1-0
1,Sun,2014-08-31,Atalanta,Hellas Verona,0-0,
1,Sun,2014-08-31,AC Milan,Lazio,3-1,1-0
1,Sun,2014-08-31,AC Cesena,Parma FC,1-0,1-0
1,Sun,2014-08-31,Genoa CFC,Napoli,1-2,1-1
1,Sun,2014-08-31,US Palermo,Sampdoria,1-1,1-0
1,Sun,2014-08-31,Sassuolo,Cagliari,1-1,1-1
1,Sun,2014-08-31,Torino,Inter de Milão,0-0,
1,Sun,2014-08-31,Udinese,Empoli FC,2-0,0-0
2,Sat,2014-09-13,Empoli FC,Roma,0-1,0-1
2,Sat,2014-09-13,Juventus FC,Udinese,2-0,1-0
2,Sun,2014-09-14,Sampdoria,Torino,2-0,1-0
2,Sun,2014-09-14,Cagliari,Atalanta,1-2,0-1
2,Sun,2014-09-14,Fiorentina,Genoa CFC,0-0,
2,Sun,2014-09-14,Inter de Milão,Sassuolo,7-0,4-0
2,Sun,2014-09-14,Lazio,AC Cesena,3-0,1-0
2,Sun,2014-09-14,Napoli,Chievo Verona,0-1,0-0
2,Sun,2014-09-14,Parma FC,AC Milan,4-5,1-3
2,Mon,2014-09-15,Hellas Verona,US Palermo,2-1,1-1
3,Sat,2014-09-20,AC Cesena,Empoli FC,2-2,2-0
3,Sat,2014-09-20,AC Milan,Juventus FC,0-1,0-0
3,Sun,2014-09-21,Chievo Verona,Parma FC,2-3,1-0
3,Sun,2014-09-21,Genoa CFC,Lazio,1-0,0-0
3,Sun,2014-09-21,Roma,Cagliari,2-0,2-0
3,Sun,2014-09-21,Sassuolo,Sampdoria,0-0,
3,Sun,2014-09-21,Atalanta,Fiorentina,0-1,0-0
3,Sun,2014-09-21,Udinese,Napoli,1-0,0-0
3,Sun,2014-09-21,US Palermo,Inter de Milão,1-1,1-1
3,Sun,2014-09-21,Torino,Hellas Verona,0-1,0-0
4,Tue,2014-09-23,Empoli FC,AC Milan,2-2,2-1
4,Wed,2014-09-24,Cagliari,Torino,1-2,1-2
4,Wed,2014-09-24,Fiorentina,Sassuolo,0-0,
4,Wed,2014-09-24,Hellas Verona,Genoa CFC,2-2,0-1
4,Wed,2014-09-24,Inter de Milão,Atalanta,2-0,1-0
4,Wed,2014-09-24,Juventus FC,AC Cesena,3-0,1-0
4,Wed,2014-09-24,Napoli,US Palermo,3-3,3-2
4,Wed,2014-09-24,Parma FC,Roma,1-2,0-1
4,Wed,2014-09-24,Sampdoria,Chievo Verona,2-1,1-0
4,Thu,2014-09-25,Lazio,Udinese,0-1,0-1
5,Sat,2014-09-27,Roma,Hellas Verona,2-0,0-0
5,Sat,2014-09-27,Atalanta,Juventus FC,0-3,0-1
5,Sun,2014-09-28,Sassuolo,Napoli,0-1,0-1
5,Sun,2014-09-28,AC Cesena,AC Milan,1-1,1-1
5,Sun,2014-09-28,Chievo Verona,Empoli FC,1-1,0-0
5,Sun,2014-09-28,Inter de Milão,Cagliari,1-4,1-4
5,Sun,2014-09-28,Torino,Fiorentina,1-1,0-0
5,Sun,2014-09-28,Genoa CFC,Sampdoria,0-1,0-0
5,Mon,2014-09-29,Udinese,Parma FC,4-2,2-2
5,Mon,2014-09-29,US Palermo,Lazio,0-4,0-1
6,Sat,2014-10-04,Hellas Verona,Cagliari,1-0,0-0
6,Sat,2014-10-04,AC Milan,Chievo Verona,2-0,0-0
6,Sun,2014-10-05,Empoli FC,US Palermo,3-0,2-0
6,Sun,2014-10-05,Lazio,Sassuolo,3-2,3-1
6,Sun,2014-10-05,Parma FC,Genoa CFC,1-2,0-0
6,Sun,2014-10-05,Sampdoria,Atalanta,1-0,1-0
6,Sun,2014-10-05,Udinese,AC Cesena,1-1,0-0
6,Sun,2014-10-05,Juventus FC,Roma,3-2,2-2
6,Sun,2014-10-05,Fiorentina,Inter de Milão,3-0,2-0
6,Sun,2014-10-05,Napoli,Torino,2-1,0-1
7,Sat,2014-10-18,Roma,Chievo Verona,3-0,3-0
7,Sat,2014-10-18,Sassuolo,Juventus FC,1-1,1-1
7,Sun,2014-10-19,Fiorentina,Lazio,0-2,0-1
7,Sun,2014-10-19,Atalanta,Parma FC,1-0,0-0
7,Sun,2014-10-19,Cagliari,Sampdoria,2-2,0-2
7,Sun,2014-10-19,Hellas Verona,AC Milan,1-3,0-2
7,Sun,2014-10-19,US Palermo,AC Cesena,2-1,1-0
7,Sun,2014-10-19,Torino,Udinese,1-0,0-0
7,Sun,2014-10-19,Inter de Milão,Napoli,2-2,0-0
7,Mon,2014-10-20,Genoa CFC,Empoli FC,1-1,1-0
8,Sat,2014-10-25,Empoli FC,Cagliari,0-4,0-4
8,Sat,2014-10-25,Parma FC,Sassuolo,1-3,0-2
8,Sat,2014-10-25,Sampdoria,Roma,0-0,
8,Sun,2014-10-26,Chievo Verona,Genoa CFC,1-2,1-0
8,Sun,2014-10-26,Juventus FC,US Palermo,2-0,1-0
8,Sun,2014-10-26,Udinese,Atalanta,2-0,2-0
8,Sun,2014-10-26,AC Cesena,Inter de Milão,0-1,0-1
8,Sun,2014-10-26,Lazio,Torino,2-1,1-0
8,Sun,2014-10-26,Napoli,Hellas Verona,6-2,1-1
8,Sun,2014-10-26,AC Milan,Fiorentina,1-1,1-0
9,Tue,2014-10-28,Sassuolo,Empoli FC,3-1,0-1
9,Wed,2014-10-29,Atalanta,Napoli,1-1,0-0
9,Wed,2014-10-29,Cagliari,AC Milan,1-1,1-1
9,Wed,2014-10-29,Fiorentina,Udinese,3-0,1-0
